gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
001602,01,000208,1995-01-01,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMGEN INC,AMGN,031162100,0000318154,2836,325414
001690,01,000208,1995-01-01,,Nasdaq 100,LGCAP,I0028,,,EXCHG,APPLE INC,AAPL,037833100,0000320193,3663,334220
001704,01,000208,1995-01-01,,Nasdaq 100,LGCAP,I0028,,,EXCHG,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,333242
006008,01,000208,1995-01-01,,Nasdaq 100,LGCAP,I0028,,,EXCHG,INTEL CORP,INTC,458140100,0000050863,3674,334413
008253,01,000208,1995-01-01,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PACCAR INC,PCAR,693718108,0000075362,3711,336120
008402,01,000208,1995-01-01,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PAYCHEX INC,PAYX,704326107,0000723531,8721,541214
012141,01,000208,1995-01-01,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MICROSOFT CORP,MSFT,594918104,0000789019,7372,513210
012540,01,000208,1995-01-01,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ADOBE INC,ADBE,00724F101,0000796343,7370,518210
020779,01,000208,1995-01-01,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CISCO SYSTEMS INC,CSCO,17275R102,0000858877,3576,334118
024800,01,000208,1995-01-01,,Nasdaq 100,LGCAP,I0028,,,EXCHG,QUALCOMM INC,QCOM,747525103,0000804328,3674,334413
029028,01,000208,1995-01-01,,Nasdaq 100,LGCAP,I0028,,,EXCHG,COSTCO WHOLESALE CORP,COST,22160K105,0000909832,5399,455211
009699,01,000208,1995-01-01,2000-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,SIGMA-ALDRICH CORP,SIAL,826552101,0000090185,2833,325411
012126,01,000208,1995-01-01,2000-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,PACIFICARE HEALTH SYSTEMS,PHS,695112102,0001027974,6324,621491
012256,01,000208,1995-01-01,2000-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,STEEL EXCEL INC,SXCL,858122203,0000709804,1389,213112
014565,01,000208,1995-01-01,2000-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMERICAN POWER CONVERSION CP,APCC.,029066107,0000835910,3620,335999
014650,01,000208,1995-01-01,2001-03-12,Nasdaq 100,LGCAP,I0028,,,EXCHG,BMC SOFTWARE INC,BMC,055921100,0000835729,7372,511210
010553,01,000208,1995-01-01,2001-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,3COM CORP,COMS.,885535104,0000738076,3576,334119
011910,01,000208,1995-01-01,2001-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,NOVELL INC,NOVL,670006105,0000758004,7370,541519
018699,01,000208,1995-01-01,2001-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,PTC INC,PTC,69370C100,0000857005,7372,513210
001164,01,000208,1995-01-01,2002-07-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,MCI INC,MCIP,98157D106,0000723527,4813,517110
003226,02,000208,1995-01-01,2002-11-18,Nasdaq 100,LGCAP,I0028,,,EXCHG,COMCAST CORP,CMCSA,20030N200,0001166691,4841,516210
023767,01,000208,1995-01-01,2002-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,ATMEL CORP,ATML,049513104,0000872448,3674,334413
002226,01,000208,1995-01-01,2003-11-12,Nasdaq 100,LGCAP,I0028,,,EXCHG,BIOGEN INC-OLD,BGEN,090597105,0000714655,2836,325414
001013,01,000208,1995-01-01,2003-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,ADC TELECOMMUNICATIONS INC,ADCT.1,000886309,0000061478,3661,334210
