Date,Ticker,Russell1000,RussellT200,R1000_WT,R200_WT
2008-09-30,AFL,Y,Y,0.002406,0.003357
2008-09-30,T,Y,Y,0.014289,0.019941
2008-09-30,ABT,Y,Y,0.007655,0.010683
2008-09-30,ADBE,Y,Y,0.001808,0.002523
2008-09-30,AET,Y,Y,0.001508,0.002105
2008-09-30,APD,Y,Y,0.001243,0.001735
2008-09-30,AA,Y,Y,0.001585,0.002213
2008-09-30,ALL,Y,Y,0.002188,0.003054
2008-09-30,MO,Y,Y,0.003579,0.004995
2008-09-30,AMZN,Y,Y,0.001974,0.002755
2008-09-30,AXP,Y,Y,0.003072,0.004288
2008-09-30,AIG,Y,Y,0.000666,0.000930
2008-09-30,AMGN,Y,Y,0.005559,0.007757
2008-09-30,APC,Y,Y,0.001956,0.002730
2008-09-30,BUD,Y,Y,0.003985,0.005562
2008-09-30,APA,Y,Y,0.002997,0.004182
2008-09-30,AAPL,Y,Y,0.008632,0.012046
2008-09-30,AMAT,Y,Y,0.001764,0.002462
2008-09-30,ADM,Y,Y,0.001215,0.001696
2008-09-30,ADP,Y,Y,0.001909,0.002664
2008-09-30,BBT,Y,Y,0.001781,0.002485
2008-09-30,BHI,Y,Y,0.001606,0.002242
2008-09-30,BAC,Y,Y,0.013746,0.019183
2008-09-30,BK,Y,Y,0.003210,0.004480
2008-09-30,BAX,Y,Y,0.003547,0.004950
2008-09-30,BDX,Y,Y,0.001687,0.002355
2008-09-30,BBY,Y,Y,0.001079,0.001506
2008-09-30,BIIB,Y,Y,0.001258,0.001755
2008-09-30,BLK,Y,Y,0.000292,0.000408
2008-09-30,BA,Y,Y,0.003712,0.005181
2008-09-30,BSX,Y,Y,0.001582,0.002207
2008-09-30,BMY,Y,Y,0.003556,0.004962
2008-09-30,BNI,Y,Y,0.002241,0.003127
2008-09-30,CME,Y,Y,0.002146,0.002995
2008-09-30,CSX,Y,Y,0.001902,0.002655
2008-09-30,CVS,Y,Y,0.004145,0.005784
2008-09-30,COF,Y,Y,0.001648,0.002300
2008-09-30,CAH,Y,Y,0.001515,0.002114
2008-09-30,CCL,Y,Y,0.001328,0.001853
2008-09-30,CAT,Y,Y,0.003158,0.004407
2008-09-30,CELG,Y,Y,0.002376,0.003316
2008-09-30,CHK,Y,Y,0.001784,0.002489
2008-09-30,CVX,Y,Y,0.014696,0.020509
2008-09-30,CB,Y,Y,0.001728,0.002412
2008-09-30,CSCO,Y,Y,0.011480,0.016021
2008-09-30,C,Y,Y,0.009619,0.013423
2008-09-30,KO,Y,Y,0.010581,0.014766
2008-09-30,CL,Y,Y,0.003296,0.004600
2008-09-30,CMCSA,Y,Y,0.004742,0.006617
2008-09-30,COP,Y,Y,0.009733,0.013582
2008-09-30,GLW,Y,Y,0.002122,0.002961
2008-09-30,COST,Y,Y,0.002423,0.003382
2008-09-30,DHR,Y,Y,0.001529,0.002133
2008-09-30,DE,Y,Y,0.001838,0.002564
2008-09-30,DELL,Y,Y,0.002578,0.003597
2008-09-30,DVN,Y,Y,0.003505,0.004892
2008-09-30,DTV,Y,Y,0.001343,0.001875
2008-09-30,DIS,Y,Y,0.005037,0.007029
2008-09-30,D,Y,Y,0.002130,0.002973
2008-09-30,DOW,Y,Y,0.002547,0.003555
2008-09-30,DD,Y,Y,0.003127,0.004364
2008-09-30,DUK,Y,Y,0.001899,0.002650
2008-09-30,EMC,Y,Y,0.002130,0.002972
2008-09-30,EOG,Y,Y,0.001914,0.002670
2008-09-30,EBAY,Y,Y,0.002139,0.002985
2008-09-30,EMR,Y,Y,0.002743,0.003829
2008-09-30,ETR,Y,Y,0.001468,0.002049
2008-09-30,EXC,Y,Y,0.003539,0.004938
2008-09-30,XOM,Y,Y,0.035347,0.049328
2008-09-30,FPL,Y,Y,0.001768,0.002468
2008-09-30,FRE,Y,Y,0.000095,0.000133
2008-09-30,FNM,Y,Y,0.000140,0.000196
2008-09-30,FDX,Y,Y,0.002111,0.002946
2008-09-30,FSLR,Y,Y,0.000727,0.001014
2008-09-30,FE,Y,Y,0.001759,0.002455
2008-09-30,BEN,Y,Y,0.001170,0.001633
2008-09-30,FCX,Y,Y,0.001877,0.002619
2008-09-30,DNA,Y,Y,0.003548,0.004952
2008-09-30,GD,Y,Y,0.002527,0.003527
2008-09-30,GE,Y,Y,0.021895,0.030555
2008-09-30,GIS,Y,Y,0.001983,0.002768
2008-09-30,GENZ,Y,Y,0.001863,0.002599
2008-09-30,GILD,Y,Y,0.003622,0.005055
2008-09-30,GS,Y,Y,0.004347,0.006066
2008-09-30,GOOG,Y,Y,0.008171,0.011403
2008-09-30,HAL,Y,Y,0.002434,0.003397
2008-09-30,HIG,Y,Y,0.001111,0.001551
2008-09-30,HES,Y,Y,0.001989,0.002776
2008-09-30,HPQ,Y,Y,0.009820,0.013704
2008-09-30,HD,Y,Y,0.003769,0.005260
2008-09-30,HON,Y,Y,0.002654,0.003704
2008-09-30,ITW,Y,Y,0.001796,0.002506
2008-09-30,INTC,Y,Y,0.009242,0.012897
2008-09-30,IBM,Y,Y,0.013838,0.019312
2008-09-30,JPM,Y,Y,0.013889,0.019383
2008-09-30,JNJ,Y,Y,0.016819,0.023471
2008-09-30,JCI,Y,Y,0.001550,0.002164
2008-09-30,K,Y,Y,0.001208,0.001686
2008-09-30,KMB,Y,Y,0.002337,0.003262
2008-09-30,KFT,Y,Y,0.004147,0.005787
2008-09-30,KR,Y,Y,0.001564,0.002182
2008-09-30,LVS,Y,Y,0.000328,0.000458
2008-09-30,LLY,Y,Y,0.003791,0.005290
2008-09-30,LMT,Y,Y,0.003107,0.004335
2008-09-30,L,Y,Y,0.001068,0.001490
2008-09-30,LOW,Y,Y,0.002984,0.004164
2008-09-30,MRO,Y,Y,0.002431,0.003393
2008-09-30,MA,Y,Y,0.001110,0.001549
2008-09-30,MCD,Y,Y,0.006025,0.008408
2008-09-30,MCK,Y,Y,0.001285,0.001794
2008-09-30,MHS,Y,Y,0.001964,0.002741
2008-09-30,MDT,Y,Y,0.004847,0.006764
2008-09-30,MRK,Y,Y,0.005836,0.008144
2008-09-30,MER,Y,Y,0.003332,0.004650
2008-09-30,MET,Y,Y,0.002108,0.002942
2008-09-30,MSFT,Y,Y,0.018458,0.025759
2008-09-30,MON,Y,Y,0.004679,0.006530
2008-09-30,MS,Y,Y,0.002194,0.003061
2008-09-30,MOS,Y,Y,0.000910,0.001270
2008-09-30,MOT,Y,Y,0.001387,0.001936
2008-09-30,NYX,Y,Y,0.000894,0.001248
2008-09-30,NOV,Y,Y,0.001796,0.002507
2008-09-30,NEM,Y,Y,0.001458,0.002034
2008-09-30,NWS.A,Y,Y,0.002392,0.003338
2008-09-30,NKE,Y,Y,0.002039,0.002845
2008-09-30,NSC,Y,Y,0.002143,0.002991
2008-09-30,NOC,Y,Y,0.001784,0.002489
2008-09-30,NUE,Y,Y,0.001076,0.001502
2008-09-30,OXY,Y,Y,0.004981,0.006951
2008-09-30,OMC,Y,Y,0.001064,0.001485
2008-09-30,ORCL,Y,Y,0.006814,0.009509
2008-09-30,PNC,Y,Y,0.002226,0.003106
2008-09-30,PCAR,Y,Y,0.001201,0.001676
2008-09-30,BTU,Y,Y,0.001053,0.001469
2008-09-30,PEP,Y,Y,0.009738,0.013589
2008-09-30,PFE,Y,Y,0.010746,0.014997
2008-09-30,PM,Y,Y,0.008740,0.012197
2008-09-30,PX,Y,Y,0.001935,0.002700
2008-09-30,PG,Y,Y,0.018328,0.025577
2008-09-30,PRU,Y,Y,0.002691,0.003755
2008-09-30,PEG,Y,Y,0.001436,0.002004
2008-09-30,QCOM,Y,Y,0.005992,0.008362
2008-09-30,RTN,Y,Y,0.001950,0.002721
2008-09-30,RAI,Y,Y,0.000717,0.001001
2008-09-30,SGP,Y,Y,0.002580,0.003600
2008-09-30,SLB,Y,Y,0.008026,0.011200
2008-09-30,SCHW,Y,Y,0.002093,0.002920
2008-09-30,SPG,Y,Y,0.001878,0.002621
2008-09-30,SO,Y,Y,0.002491,0.003476
2008-09-30,PCU,Y,Y,0.000362,0.000505
2008-09-30,S,Y,Y,0.001459,0.002036
